[module] running job a91ce9b9-71cd-436a-b0e2-c4e6573e419e
[15:32:50] [S2] batch mini_step=20 optimizer_step=20 discriminator_total=3.7799758911132812 generator_total=35.361473083496094 feature=10.243861198425293 mel=20.05095672607422 kl_ssl=0.0 kl=2.2802133560180664 grad_norm_d=36.203165813171324 grad_norm_g=165.95097708152448 learning_rate=0.0001
[15:32:52] [S2] batch mini_step=21 optimizer_step=21 discriminator_total=3.836824893951416 generator_total=28.661022186279297 feature=7.20942497253418 mel=17.315872192382812 kl_ssl=0.0 kl=1.872188925743103 grad_norm_d=43.11714288745777 grad_norm_g=316.6454880913161 learning_rate=0.0001
[15:32:53] [S2] batch mini_step=22 optimizer_step=22 discriminator_total=3.748650074005127 generator_total=23.294384002685547 feature=6.385645389556885 mel=11.877368927001953 kl_ssl=0.0 kl=2.449000120162964 grad_norm_d=47.288477447993294 grad_norm_g=284.9220278938252 learning_rate=0.0001
[15:32:54] [S2] batch mini_step=23 optimizer_step=23 discriminator_total=3.7632503509521484 generator_total=37.19473648071289 feature=10.739904403686523 mel=21.58990478515625 kl_ssl=0.0 kl=1.9577184915542603 grad_norm_d=59.32193423792787 grad_norm_g=133.8209824358548 learning_rate=0.0001
[15:32:55] [S2] batch mini_step=24 optimizer_step=24 discriminator_total=3.919984817504883 generator_total=35.32957077026367 feature=11.591720581054688 mel=19.665433883666992 kl_ssl=0.0 kl=1.4917631149291992 grad_norm_d=38.40382702801937 grad_norm_g=195.38462087230732 learning_rate=0.0001
[15:32:56] [S2] batch mini_step=25 optimizer_step=25 discriminator_total=3.7631237506866455 generator_total=34.732086181640625 feature=8.958344459533691 mel=21.158266067504883 kl_ssl=0.0 kl=1.9748162031173706 grad_norm_d=19.791709109490007 grad_norm_g=93.38147667703896 learning_rate=0.0001
[15:32:58] [S2] batch mini_step=26 optimizer_step=26 discriminator_total=4.196352958679199 generator_total=35.67680740356445 feature=10.705514907836914 mel=20.56621551513672 kl_ssl=0.0 kl=2.0893304347991943 grad_norm_d=53.241043503320356 grad_norm_g=124.28684129343966 learning_rate=0.0001
[15:32:59] [S2] batch mini_step=27 optimizer_step=27 discriminator_total=4.06459903717041 generator_total=30.511110305786133 feature=8.330028533935547 mel=18.397781372070312 kl_ssl=0.0 kl=1.4047926664352417 grad_norm_d=57.78897494722265 grad_norm_g=214.69175749436963 learning_rate=0.0001
[15:33:00] [S2] batch mini_step=28 optimizer_step=28 discriminator_total=3.7606749534606934 generator_total=36.45841979980469 feature=10.741667747497559 mel=20.812421798706055 kl_ssl=0.0 kl=2.0371932983398438 grad_norm_d=65.91265789008507 grad_norm_g=162.57874795280932 learning_rate=0.0001
[15:33:01] [S2] batch mini_step=29 optimizer_step=29 discriminator_total=4.0179643630981445 generator_total=20.61989402770996 feature=0.27339813113212585 mel=16.13233757019043 kl_ssl=0.0 kl=2.285512685775757 grad_norm_d=33.46614985130415 grad_norm_g=nan learning_rate=0.0001
[15:33:02] [S2] batch mini_step=30 optimizer_step=30 discriminator_total=4.296777725219727 generator_total=38.50791931152344 feature=13.303386688232422 mel=20.28754234313965 kl_ssl=0.0 kl=1.7407177686691284 grad_norm_d=64.1219376082921 grad_norm_g=143.6528375648998 learning_rate=0.0001
[15:33:04] [S2] batch mini_step=31 optimizer_step=31 discriminator_total=3.9156265258789062 generator_total=26.68343162536621 feature=4.496547222137451 mel=17.263641357421875 kl_ssl=0.0 kl=2.5488228797912598 grad_norm_d=20.208085125964786 grad_norm_g=531.3382386563374 learning_rate=0.0001
[15:33:05] [S2] batch mini_step=32 optimizer_step=32 discriminator_total=4.3185038566589355 generator_total=29.043067932128906 feature=6.348605632781982 mel=18.061973571777344 kl_ssl=0.0 kl=2.272609233856201 grad_norm_d=40.75916157441784 grad_norm_g=204.8880553463592 learning_rate=0.0001
[15:33:06] [S2] batch mini_step=33 optimizer_step=33 discriminator_total=3.789839744567871 generator_total=29.192974090576172 feature=6.322957992553711 mel=18.055435180664062 kl_ssl=0.0 kl=2.495234489440918 grad_norm_d=40.18838612745445 grad_norm_g=857.6860234133953 learning_rate=0.0001
[15:33:07] [S2] batch mini_step=34 optimizer_step=34 discriminator_total=3.9647488594055176 generator_total=23.850034713745117 feature=3.034928560256958 mel=16.67144775390625 kl_ssl=0.0 kl=1.8250261545181274 grad_norm_d=35.28601000421482 grad_norm_g=724.2070390892931 learning_rate=0.0001
[15:33:08] [S2] batch mini_step=35 optimizer_step=35 discriminator_total=3.882215738296509 generator_total=21.833036422729492 feature=1.1868473291397095 mel=16.480398178100586 kl_ssl=0.0 kl=1.724344253540039 grad_norm_d=31.408733814686766 grad_norm_g=509.97144521067077 learning_rate=0.0001
[15:33:09] [S2] batch mini_step=36 optimizer_step=36 discriminator_total=3.9357268810272217 generator_total=29.45404815673828 feature=7.486738204956055 mel=17.618581771850586 kl_ssl=0.0 kl=2.0798652172088623 grad_norm_d=32.189369015216606 grad_norm_g=440.02090579419723 learning_rate=0.0001
[15:33:11] [S2] batch mini_step=37 optimizer_step=37 discriminator_total=3.5884931087493896 generator_total=28.603303909301758 feature=6.107052803039551 mel=17.793474197387695 kl_ssl=0.0 kl=2.0426247119903564 grad_norm_d=50.83696072189764 grad_norm_g=789.3633099240128 learning_rate=0.0001
